"","BirdID","Genetic_dad","Genetic_mum","Cohort","Immigrant","Cohort_dad","Cohort_mum","genetic_dad_age","genetic_mum_age","AgeGroupGeneticDad","AgeGroupGeneticMum","Mate","TSRatio","mean_genetic_dad","mean_genetic_mum","deltaGeneticDad","deltaGeneticMum","centered_geneticdad_age","centered_geneticmom_age","Plate","BloodAge","DNAAge","CaptureYear","offspring_age"
"25",4275,4440,4463,2000,0,1997,1999,3,1,"young","young","young - young",0.917303836,2,2.61111111111111,1,1.61111111111111,-1,1.61111111111111,"NdR_hstel2016_pMEAdCh5_newm_meltcurve.csvresultstotal.csv",9,7,2000,0
"35",4500,4441,4399,2000,0,1999,1994,1,6,"young","old","young - old",0.714189533,2,2.61111111111111,1,3.38888888888889,1,-3.38888888888889,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",8,6,2001,1
"36",4502,4443,4416,2000,0,1999,1998,1,2,"young","young","young - young",0.856953536,2,2.61111111111111,1,0.611111111111111,1,0.611111111111111,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",8,6,2001,1
"86",249,4442,4413,2001,0,1999,1999,2,2,"young","young","young - young",0.754215403,1.8125,2.46875,0.1875,0.46875,-0.1875,0.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"87",250,4285,4480,2001,0,2000,2000,1,1,"young","young","young - young",0.759635944,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"90",251,4273,4135,2001,0,2000,2000,1,1,"young","young","young - young",0.54917144,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",14,0,2001,0
"91",722,4497,4282,2001,0,1999,2000,2,1,"young","young","young - young",0.922504568,1.8125,2.46875,0.1875,1.46875,-0.1875,1.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",7,6,2002,1
"93",723,4177,4467,2001,0,2000,2000,1,1,"young","young","young - young",0.690182937,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",13,0,2002,1
"98",724,4447,4477,2001,0,1999,2000,2,1,"young","young","young - young",0.7691076,1.8125,2.46875,0.1875,1.46875,-0.1875,1.46875,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",7,6,2002,1
"109",253,4436,4230,2002,0,1997,2000,5,2,"old","young","old - young",0.794825775,1.84375,2.125,3.15625,0.125,-3.15625,0.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"112",256,4436,4230,2002,0,1997,2000,5,2,"old","young","old - young",1.495954889,1.84375,2.125,3.15625,0.125,-3.15625,0.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"115",287,4291,4417,2002,0,2000,1999,2,3,"young","young","young - young",1.151724889,1.84375,2.125,0.15625,0.875,-0.15625,-0.875,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,11,2003,1
"118",298,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",1.052734664,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",1,11,2003,1
"119",301,108,4153,2002,0,2001,2000,1,2,"young","young","young - young",1.357395375,1.84375,2.125,0.84375,0.125,0.84375,0.125,"NdR_hstel2016_pMEAdCh1_newm_meltcurve.csvresultstotal.csv",1,11,2003,1
"122",338,76,144,2002,0,2001,2001,1,1,"young","young","young - young",0.908796983,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"127",346,38,4403,2002,0,2001,1995,1,7,"young","old","young - old",1.64598181,1.84375,2.125,0.84375,4.875,0.84375,-4.875,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",1,11,2003,1
"130",353,4290,4275,2002,0,2000,2000,2,2,"young","young","young - young",0.720758321,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"NdR_hstel2016_pMEAdCh2_newm.csvresultstotal.csv",1,11,2003,1
"133",354,4290,4275,2002,0,2000,2000,2,2,"young","young","young - young",0.301218658,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
"135",356,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.98618992,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,1
"136",356,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.98618992,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"138",363,4447,4477,2002,0,1999,2000,3,2,"young","young","young - young",0.874191032,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",12,0,2003,1
"139",370,4178,110,2002,0,2000,2001,2,1,"young","young","young - young",0.989665133,1.84375,2.125,0.15625,1.125,-0.15625,1.125,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",1,11,2003,1
"140",371,4178,110,2002,0,2000,2001,2,1,"young","young","young - young",0.777506625,1.84375,2.125,0.15625,1.125,-0.15625,1.125,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
"142",393,4500,4264,2002,0,2000,2000,2,2,"young","young","young - young",1.910375995,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"148",416,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.727997134,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,1
"149",416,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.727997134,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,1
"152",417,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.684245488,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",12,0,2003,1
"154",417,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.684245488,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"159",419,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.892914435,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",12,0,2003,1
"164",421,34,4153,2002,0,2001,2000,1,2,"young","young","young - young",0.829511259,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",12,0,2003,1
"167",422,34,4429,2002,0,2001,1997,1,5,"young","old","young - old",0.790921821,1.84375,2.125,0.84375,2.875,0.84375,-2.875,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"170",427,32,104,2002,0,2001,2001,1,1,"young","young","young - young",2.534299875,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,11,2003,1
"173",428,32,104,2002,0,2001,2001,1,1,"young","young","young - young",0.339907683,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"175",438,4333,129,2002,0,2000,2001,2,1,"young","young","young - young",0.516025051,1.84375,2.125,0.15625,1.125,-0.15625,1.125,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,11,2003,1
"176",442,4177,4467,2002,0,2000,2000,2,2,"young","young","young - young",0.816926064,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,1
"179",442,4177,4467,2002,0,2000,2000,2,2,"young","young","young - young",0.816926064,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,1
"180",444,4177,4304,2002,0,2000,2000,2,2,"young","young","young - young",0.854749503,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"182",456,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",0.658116923,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"185",457,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",0.982285805,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,1
"186",457,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",0.982285805,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",12,0,2003,1
"190",469,4497,4282,2002,0,1999,2000,3,2,"young","young","young - young",0.517437953,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"193",471,4497,4282,2002,0,1999,2000,3,2,"young","young","young - young",1.861249556,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,11,2003,1
"194",471,4497,4282,2002,0,1999,2000,3,2,"young","young","young - young",1.861249556,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"198",586,4168,4274,2002,0,2000,2000,2,2,"young","young","young - young",0.689995889,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"201",590,4420,114,2002,0,1999,2001,3,1,"young","young","young - young",0.840000003,1.84375,2.125,1.15625,1.125,-1.15625,1.125,"MEM_Adults_plate48_030615_data.csvresultstotal.csv",1,11,2003,1
"206",595,91,4295,2002,0,2001,2000,1,2,"young","young","young - young",0.764604212,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"207",601,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.692033719,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,11,2003,1
"209",602,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.891179578,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"211",603,38,4403,2002,0,2001,1995,1,7,"young","old","young - old",0.45845107,1.84375,2.125,0.84375,4.875,0.84375,-4.875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"215",604,38,4403,2002,0,2001,1995,1,7,"young","old","young - old",1.365485528,1.84375,2.125,0.84375,4.875,0.84375,-4.875,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,1
"217",604,38,4403,2002,0,2001,1995,1,7,"young","old","young - old",1.365485528,1.84375,2.125,0.84375,4.875,0.84375,-4.875,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,1
"219",615,45,55,2002,0,2001,2001,1,1,"young","young","young - young",0.978122791,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"222",626,4436,4230,2002,0,1997,2000,5,2,"old","young","old - young",1.188481203,1.84375,2.125,3.15625,0.125,-3.15625,0.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"223",645,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",0.514792107,1.84375,2.125,0.84375,0.125,0.84375,0.125,"NdR_hstel2016_pMEAdCh4_newm_meltcurve.csvresultstotal.csv",1,11,2003,1
"228",649,4504,4464,2002,0,2000,1999,2,3,"young","young","young - young",0.759358945,1.84375,2.125,0.15625,0.875,-0.15625,-0.875,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",12,0,2003,1
"231",660,4177,4304,2002,0,2000,2000,2,2,"young","young","young - young",0.73484188,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",12,0,2003,1
"236",670,4447,4477,2002,0,1999,2000,3,2,"young","young","young - young",0.82736364,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"239",1099,60,24,2002,0,2001,2001,1,1,"young","young","young - young",0.925633164,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"243",1102,207,110,2002,0,2001,2001,1,1,"young","young","young - young",0.355944026,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",1,11,2003,1
"244",1103,106,4464,2002,0,2001,1999,1,3,"young","young","young - young",0.404515784,1.84375,2.125,0.84375,0.875,0.84375,-0.875,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",12,0,2003,1
"246",1103,106,4464,2002,0,2001,1999,1,3,"young","young","young - young",0.404515784,1.84375,2.125,0.84375,0.875,0.84375,-0.875,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",1,11,2003,1
"249",517,123,4303,2003,0,2001,2000,2,3,"young","young","young - young",0.690795956,1.63636363636364,2.5974025974026,0.363636363636364,0.402597402597403,-0.363636363636364,-0.402597402597403,"MEM_Plates1-6_reruns_031014_data.csvresultstotal.csv",10,0,2004,1
"250",521,586,285,2003,0,2002,2002,1,1,"young","young","young - young",0.759016469,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_adults_090914B_data.csvresultstotal.csv",10,0,2004,1
"251",524,353,422,2003,0,2002,2002,1,1,"young","young","young - young",0.975640088,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",10,1,2004,1
"252",530,253,417,2003,0,2002,2002,1,1,"young","young","young - young",0.330851257,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,0
"253",533,371,4230,2003,0,2002,2000,1,3,"young","young","young - young",0.899628021,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,10,2004,1
"254",537,601,645,2003,0,2002,2002,1,1,"young","young","young - young",0.392213021,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,0
"255",540,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.769746255,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_adults_090914B_data.csvresultstotal.csv",1,9,2004,1
"256",540,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.769746255,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"257",540,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.769746255,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"258",540,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.769746255,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"259",540,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.769746255,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"260",542,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.835346155,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,0
"262",542,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.835346155,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,10,2004,1
"263",542,419,4415,2003,0,2002,1999,1,4,"young","old","young - old",0.835346155,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,10,2004,1
"264",556,206,178,2003,0,2001,2001,2,2,"young","young","young - young",0.815425057,1.63636363636364,2.5974025974026,0.363636363636364,0.597402597402597,-0.363636363636364,0.597402597402597,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"266",560,646,4413,2003,0,2002,1999,1,4,"young","old","young - old",0.834066506,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",10,1,2004,1
"267",560,646,4413,2003,0,2002,1999,1,4,"young","old","young - old",0.834066506,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",12,0,2003,0
"268",569,4424,4423,2003,0,2001,2001,2,2,"young","young","young - young",0.451707294,1.63636363636364,2.5974025974026,0.363636363636364,0.597402597402597,-0.363636363636364,0.597402597402597,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"269",569,4424,4423,2003,0,2001,2001,2,2,"young","young","young - young",0.451707294,1.63636363636364,2.5974025974026,0.363636363636364,0.597402597402597,-0.363636363636364,0.597402597402597,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",1,11,2003,0
"270",571,4424,590,2003,0,2001,2002,2,1,"young","young","young - young",0.632723381,1.63636363636364,2.5974025974026,0.363636363636364,1.5974025974026,-0.363636363636364,1.5974025974026,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"272",750,253,417,2003,0,2002,2002,1,1,"young","young","young - young",0.755509843,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",10,1,2004,1
"273",750,253,417,2003,0,2002,2002,1,1,"young","young","young - young",0.755509843,1.63636363636364,2.5974025974026,0.636363636363636,1.5974025974026,0.636363636363636,1.5974025974026,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,0
"274",753,32,4229,2003,0,2001,2000,2,3,"young","young","young - young",0.66394369,1.63636363636364,2.5974025974026,0.363636363636364,0.402597402597403,-0.363636363636364,-0.402597402597403,"MEM_adults_090914B_data.csvresultstotal.csv",10,0,2004,1
"275",753,32,4229,2003,0,2001,2000,2,3,"young","young","young - young",0.66394369,1.63636363636364,2.5974025974026,0.363636363636364,0.402597402597403,-0.363636363636364,-0.402597402597403,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"276",753,32,4229,2003,0,2001,2000,2,3,"young","young","young - young",0.66394369,1.63636363636364,2.5974025974026,0.363636363636364,0.402597402597403,-0.363636363636364,-0.402597402597403,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",11,0,2004,1
"277",753,32,4229,2003,0,2001,2000,2,3,"young","young","young - young",0.66394369,1.63636363636364,2.5974025974026,0.363636363636364,0.402597402597403,-0.363636363636364,-0.402597402597403,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",10,1,2004,1
"279",765,309,4326,2003,0,2002,2000,1,3,"young","young","young - young",0.757932132,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",10,1,2004,1
"280",784,601,55,2003,0,2002,2001,1,2,"young","young","young - young",0.864726096,1.63636363636364,2.5974025974026,0.636363636363636,0.597402597402597,0.636363636363636,0.597402597402597,"MEM_Adults_100914_PLATE4_data.csvresultstotal.csv",1,9,2004,1
"281",784,601,55,2003,0,2002,2001,1,2,"young","young","young - young",0.864726096,1.63636363636364,2.5974025974026,0.636363636363636,0.597402597402597,0.636363636363636,0.597402597402597,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",12,0,2003,0
"282",784,601,55,2003,0,2002,2001,1,2,"young","young","young - young",0.864726096,1.63636363636364,2.5974025974026,0.636363636363636,0.597402597402597,0.636363636363636,0.597402597402597,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",11,0,2004,1
"284",818,4290,4275,2003,0,2000,2000,3,3,"young","young","young - young",0.855881802,1.63636363636364,2.5974025974026,1.36363636363636,0.402597402597403,-1.36363636363636,-0.402597402597403,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",10,1,2004,1
"286",819,4290,4275,2003,0,2000,2000,3,3,"young","young","young - young",0.752398435,1.63636363636364,2.5974025974026,1.36363636363636,0.402597402597403,-1.36363636363636,-0.402597402597403,"MEM_adults_090914_data.csvresultstotal.csv",10,0,2004,1
"289",822,4447,4477,2003,0,1999,2000,4,3,"old","young","old - young",0.841178639,1.63636363636364,2.5974025974026,2.36363636363636,0.402597402597403,-2.36363636363636,-0.402597402597403,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",11,0,2004,1
"290",822,4447,4477,2003,0,1999,2000,4,3,"old","young","old - young",0.841178639,1.63636363636364,2.5974025974026,2.36363636363636,0.402597402597403,-2.36363636363636,-0.402597402597403,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",10,1,2004,1
"291",831,4217,4435,2003,0,2000,1997,3,6,"young","old","young - old",0.796219703,1.63636363636364,2.5974025974026,1.36363636363636,3.4025974025974,-1.36363636363636,-3.4025974025974,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",10,1,2004,1
"292",831,4217,4435,2003,0,2000,1997,3,6,"young","old","young - old",0.796219703,1.63636363636364,2.5974025974026,1.36363636363636,3.4025974025974,-1.36363636363636,-3.4025974025974,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,0
"293",832,4217,4435,2003,0,2000,1997,3,6,"young","old","young - old",0.793669928,1.63636363636364,2.5974025974026,1.36363636363636,3.4025974025974,-1.36363636363636,-3.4025974025974,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",11,0,2004,1
"295",843,41,574,2003,0,2001,2002,2,1,"young","young","young - young",0.955390312,1.63636363636364,2.5974025974026,0.363636363636364,1.5974025974026,-0.363636363636364,1.5974025974026,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",10,1,2004,1
"296",843,41,574,2003,0,2001,2002,2,1,"young","young","young - young",0.955390312,1.63636363636364,2.5974025974026,0.363636363636364,1.5974025974026,-0.363636363636364,1.5974025974026,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",12,0,2003,0
"298",857,122,4417,2003,0,2001,1999,2,4,"young","old","young - old",0.671942189,1.63636363636364,2.5974025974026,0.363636363636364,1.4025974025974,-0.363636363636364,-1.4025974025974,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",10,1,2004,1
"299",857,122,4417,2003,0,2001,1999,2,4,"young","old","young - old",0.671942189,1.63636363636364,2.5974025974026,0.363636363636364,1.4025974025974,-0.363636363636364,-1.4025974025974,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,10,2004,1
"301",860,704,4503,2003,0,2002,2000,1,3,"young","young","young - young",0.82092977,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",10,1,2004,1
"304",885,309,4326,2003,0,2002,2000,1,3,"young","young","young - young",0.772694072,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",10,1,2004,1
"307",892,4497,4303,2003,0,1999,2000,4,3,"old","young","old - young",0.677129358,1.63636363636364,2.5974025974026,2.36363636363636,0.402597402597403,-2.36363636363636,-0.402597402597403,"MEM_Adults_100914_PLATE4_data.csvresultstotal.csv",10,0,2004,1
"309",898,346,4264,2003,0,2002,2000,1,3,"young","young","young - young",0.636398027,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,0
"310",902,442,4304,2003,0,2002,2000,1,3,"young","young","young - young",0.525040296,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_adults_090914_data.csvresultstotal.csv",1,9,2004,1
"312",902,442,4304,2003,0,2002,2000,1,3,"young","young","young - young",0.525040296,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_100914_PLATE3_data.csvresultstotal.csv",10,0,2004,1
"313",902,442,4304,2003,0,2002,2000,1,3,"young","young","young - young",0.525040296,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",12,0,2003,0
"315",903,442,4304,2003,0,2002,2000,1,3,"young","young","young - young",0.49233257,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",1,10,2004,1
"316",903,442,4304,2003,0,2002,2000,1,3,"young","young","young - young",0.49233257,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,0
"317",912,416,4418,2003,0,2002,1999,1,4,"young","old","young - old",0.881954019,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",10,1,2004,1
"318",913,416,4418,2003,0,2002,1999,1,4,"young","old","young - old",0.738011983,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_adults_090914_data.csvresultstotal.csv",10,0,2004,1
"319",913,416,4418,2003,0,2002,1999,1,4,"young","old","young - old",0.738011983,1.63636363636364,2.5974025974026,0.636363636363636,1.4025974025974,0.636363636363636,-1.4025974025974,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",10,1,2004,1
"321",917,670,4274,2003,0,2002,2000,1,3,"young","young","young - young",0.817021807,1.63636363636364,2.5974025974026,0.636363636363636,0.402597402597403,0.636363636363636,-0.402597402597403,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",10,1,2004,1
"323",927,60,24,2003,0,2001,2001,2,2,"young","young","young - young",0.29084573,1.63636363636364,2.5974025974026,0.363636363636364,0.597402597402597,-0.363636363636364,0.597402597402597,"MEM_Adults_100914_PLATE3_data.csvresultstotal.csv",10,0,2004,1
"324",927,60,24,2003,0,2001,2001,2,2,"young","young","young - young",0.29084573,1.63636363636364,2.5974025974026,0.363636363636364,0.597402597402597,-0.363636363636364,0.597402597402597,"MEM_Adults_110914_PLATE5_data.csvresultstotal.csv",1,9,2004,1
