"","BirdID","Cohort","BroodRef","TSRatio","BroodName","NestboxRef","SocialDadID","SocialDadCertain","SocialdadIsGenetic","SocialMumID","SocialMumCertain","SocialMumIsGenetic","Notes","Cohort_dad","Cohort_mum","age_dad","age_mum","mean_social_dad","mean_social_mum","deltaSocialDad","deltaSocialMum","Plate","BloodAge","DNAAge","CaptureYear","offspring_age"
"113",427,2002,252,2.534299875,"B041",286,104,TRUE,FALSE,32,TRUE,FALSE,NA,"2001","2001",1,1,2.29545454545455,2.2258064516129,-1.29545454545455,-1.2258064516129,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,11,2003,1
"116",428,2002,252,0.339907683,"B041",286,104,TRUE,FALSE,32,TRUE,FALSE,NA,"2001","2001",1,1,2.29545454545455,2.2258064516129,-1.29545454545455,-1.2258064516129,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"118",438,2002,255,0.516025051,"B044",317,129,TRUE,FALSE,4333,TRUE,FALSE,NA,"2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,11,2003,1
"119",442,2002,256,0.816926064,"B045",188,4304,TRUE,FALSE,4177,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,1
"122",442,2002,256,0.816926064,"B045",188,4304,TRUE,FALSE,4177,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,1
"123",444,2002,256,0.854749503,"B045",188,4304,TRUE,FALSE,4177,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"125",456,2002,259,0.658116923,"B048",315,4303,TRUE,FALSE,123,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"128",457,2002,259,0.982285805,"B048",315,4303,TRUE,FALSE,123,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,1
"129",457,2002,259,0.982285805,"B048",315,4303,TRUE,FALSE,123,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",12,0,2003,1
"133",469,2002,262,0.517437953,"B051",319,4282,TRUE,FALSE,4497,TRUE,FALSE,NA,NA,"1999",NA,3,2.29545454545455,2.2258064516129,NA,0.774193548387097,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"136",471,2002,262,1.861249556,"B051",319,4282,TRUE,FALSE,4497,TRUE,FALSE,NA,NA,"1999",NA,3,2.29545454545455,2.2258064516129,NA,0.774193548387097,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,11,2003,1
"137",471,2002,262,1.861249556,"B051",319,4282,TRUE,FALSE,4497,TRUE,FALSE,NA,NA,"1999",NA,3,2.29545454545455,2.2258064516129,NA,0.774193548387097,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"139",494,2003,376,0.738769714,"C072",244,104,TRUE,FALSE,4213,TRUE,FALSE,NA,"2001","2000",2,3,2.52307692307692,1.65217391304348,-0.523076923076923,1.34782608695652,"MEM_Adults_100914_PLATE3_data.csvresultstotal.csv",10,0,2004,1
"141",494,2003,376,0.738769714,"C072",244,104,TRUE,FALSE,4213,TRUE,FALSE,NA,"2001","2000",2,3,2.52307692307692,1.65217391304348,-0.523076923076923,1.34782608695652,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,10,2004,1
"142",494,2003,376,0.738769714,"C072",244,104,TRUE,FALSE,4213,TRUE,FALSE,NA,"2001","2000",2,3,2.52307692307692,1.65217391304348,-0.523076923076923,1.34782608695652,"NdR_hstel2016_pMEAdCh2_newm.csvresultstotal.csv",1,12,2003,0
"143",495,2003,376,0.567381373,"C072",244,104,TRUE,FALSE,4213,TRUE,FALSE,NA,"2001","2000",2,3,2.52307692307692,1.65217391304348,-0.523076923076923,1.34782608695652,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",1,11,2003,0
"144",495,2003,376,0.567381373,"C072",244,104,TRUE,FALSE,4213,TRUE,FALSE,NA,"2001","2000",2,3,2.52307692307692,1.65217391304348,-0.523076923076923,1.34782608695652,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",12,0,2003,0
"145",499,2003,377,0.601665807,"C073",230,354,TRUE,FALSE,444,TRUE,FALSE,NA,"2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_100914_PLATE3_data.csvresultstotal.csv",10,0,2004,1
"146",500,2003,377,0.901355211,"C073",230,354,TRUE,FALSE,444,TRUE,FALSE,NA,"2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,10,2004,1
"147",504,2003,378,0.813135961,"C074",247,4229,TRUE,FALSE,32,TRUE,FALSE,"Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",10,1,2004,1
"149",504,2003,378,0.813135961,"C074",247,4229,TRUE,FALSE,32,TRUE,FALSE,"Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,10,2004,1
"152",512,2003,380,0.780457655,"C076",279,115,TRUE,FALSE,91,TRUE,FALSE,"Dad:FROM GENETICS","2001","2001",2,2,2.52307692307692,1.65217391304348,-0.523076923076923,0.347826086956522,"MEM_Plates1-6_reruns_031014_data.csvresultstotal.csv",1,9,2004,1
"153",513,2003,380,0.755765874,"C076",279,115,TRUE,FALSE,91,TRUE,FALSE,"Dad:FROM GENETICS","2001","2001",2,2,2.52307692307692,1.65217391304348,-0.523076923076923,0.347826086956522,"MEM_adults_090914_data.csvresultstotal.csv",10,0,2004,1
"154",513,2003,380,0.755765874,"C076",279,115,TRUE,FALSE,91,TRUE,FALSE,"Dad:FROM GENETICS","2001","2001",2,2,2.52307692307692,1.65217391304348,-0.523076923076923,0.347826086956522,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,0
"155",513,2003,380,0.755765874,"C076",279,115,TRUE,FALSE,91,TRUE,FALSE,"Dad:FROM GENETICS","2001","2001",2,2,2.52307692307692,1.65217391304348,-0.523076923076923,0.347826086956522,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",1,10,2004,1
"156",517,2003,381,0.690795956,"C077",177,4303,FALSE,FALSE,123,TRUE,FALSE,"Dad:????; FROM GENETICS",NA,"2001",NA,2,2.52307692307692,1.65217391304348,NA,0.347826086956522,"MEM_Plates1-6_reruns_031014_data.csvresultstotal.csv",10,0,2004,1
"157",521,2003,382,0.759016469,"C078",192,285,TRUE,FALSE,586,TRUE,FALSE,"Dad:FROM GENETICS; VX04207","2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_adults_090914B_data.csvresultstotal.csv",10,0,2004,1
"158",524,2003,383,0.975640088,"C079",246,422,TRUE,FALSE,353,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",10,1,2004,1
"159",530,2003,384,0.330851257,"C080",3,417,TRUE,FALSE,253,TRUE,FALSE,NA,"2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,0
"160",533,2003,385,0.899628021,"C081",209,4230,TRUE,FALSE,371,TRUE,FALSE,NA,"2000","2002",3,1,2.52307692307692,1.65217391304348,0.476923076923077,-0.652173913043478,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,10,2004,1
"161",537,2003,387,0.392213021,"C083",152,645,TRUE,FALSE,601,TRUE,FALSE,NA,"2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,0
"162",540,2003,388,0.769746255,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_adults_090914B_data.csvresultstotal.csv",1,9,2004,1
"163",540,2003,388,0.769746255,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"164",540,2003,388,0.769746255,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"165",542,2003,388,0.835346155,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,0
"167",542,2003,388,0.835346155,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,10,2004,1
"168",542,2003,388,0.835346155,"C084",249,4415,TRUE,FALSE,419,TRUE,FALSE,"Dad:FROM GENETICS",NA,"2002",NA,1,2.52307692307692,1.65217391304348,NA,-0.652173913043478,"MEM_Aduts_reruns2_080615_data.csvresultstotal.csv",1,10,2004,1
"169",556,2003,392,0.815425057,"C088",158,663,TRUE,FALSE,206,TRUE,FALSE,"Dad:FROM GENETICS; TA14537","2002","2001",1,2,2.52307692307692,1.65217391304348,-1.52307692307692,0.347826086956522,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",10,1,2004,1
"171",560,2003,393,0.834066506,"C089",237,4413,TRUE,FALSE,646,TRUE,FALSE,"Mum:FROM GENETICS","1999","2002",4,1,2.52307692307692,1.65217391304348,1.47692307692308,-0.652173913043478,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",10,1,2004,1
"172",560,2003,393,0.834066506,"C089",237,4413,TRUE,FALSE,646,TRUE,FALSE,"Mum:FROM GENETICS","1999","2002",4,1,2.52307692307692,1.65217391304348,1.47692307692308,-0.652173913043478,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",12,0,2003,0
"173",569,2003,395,0.451707294,"C091",217,590,TRUE,FALSE,4424,TRUE,FALSE,NA,"2002","2001",1,2,2.52307692307692,1.65217391304348,-1.52307692307692,0.347826086956522,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"174",569,2003,395,0.451707294,"C091",217,590,TRUE,FALSE,4424,TRUE,FALSE,NA,"2002","2001",1,2,2.52307692307692,1.65217391304348,-1.52307692307692,0.347826086956522,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",1,11,2003,0
"175",571,2003,395,0.632723381,"C091",217,590,TRUE,FALSE,4424,TRUE,FALSE,NA,"2002","2001",1,2,2.52307692307692,1.65217391304348,-1.52307692307692,0.347826086956522,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"179",586,2002,266,0.689995889,"B055",266,4274,TRUE,FALSE,4168,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
"182",590,2002,267,0.840000003,"B056",283,114,TRUE,FALSE,4420,TRUE,FALSE,NA,"2001","1999",1,3,2.29545454545455,2.2258064516129,-1.29545454545455,0.774193548387097,"MEM_Adults_plate48_030615_data.csvresultstotal.csv",1,11,2003,1
"187",595,2002,268,0.764604212,"B057",309,4295,TRUE,FALSE,91,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"188",601,2002,269,0.692033719,"B058",301,24,TRUE,FALSE,51,TRUE,FALSE,NA,"2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,11,2003,1
"190",602,2002,269,0.891179578,"B058",301,24,TRUE,FALSE,51,TRUE,FALSE,NA,"2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"192",603,2002,270,0.45845107,"B059",225,4403,TRUE,FALSE,38,TRUE,FALSE,NA,"1995",NA,7,NA,2.29545454545455,2.2258064516129,4.70454545454546,NA,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"196",604,2002,270,1.365485528,"B059",225,4403,TRUE,FALSE,38,TRUE,FALSE,NA,"1995",NA,7,NA,2.29545454545455,2.2258064516129,4.70454545454546,NA,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,1
"198",604,2002,270,1.365485528,"B059",225,4403,TRUE,FALSE,38,TRUE,FALSE,NA,"1995",NA,7,NA,2.29545454545455,2.2258064516129,4.70454545454546,NA,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",12,0,2003,1
"200",615,2002,273,0.978122791,"B062",313,55,TRUE,FALSE,45,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"203",626,2002,277,1.188481203,"B066",208,4230,TRUE,FALSE,4436,TRUE,FALSE,NA,"2000","1997",2,5,2.29545454545455,2.2258064516129,-0.295454545454545,2.7741935483871,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"204",645,2002,282,0.514792107,"B071",315,4303,TRUE,FALSE,123,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"NdR_hstel2016_pMEAdCh4_newm_meltcurve.csvresultstotal.csv",1,11,2003,1
"209",649,2002,283,0.759358945,"B072",196,4464,TRUE,FALSE,4504,TRUE,FALSE,NA,"1999","2000",3,2,2.29545454545455,2.2258064516129,0.704545454545455,-0.225806451612903,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",12,0,2003,1
"212",660,2002,285,0.73484188,"B074",188,4304,TRUE,FALSE,4177,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",12,0,2003,1
"217",670,2002,288,0.82736364,"B077",320,4477,TRUE,FALSE,4447,TRUE,FALSE,"TwoNo day1","2000","1999",2,3,2.29545454545455,2.2258064516129,-0.295454545454545,0.774193548387097,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"219",722,2001,NA,0.922504568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",7,6,2002,1
"221",723,2001,NA,0.690182937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",13,0,2002,1
"226",724,2001,NA,0.7691076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",7,6,2002,1
"228",750,2003,312,0.755509843,"C008",156,417,TRUE,FALSE,253,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",10,1,2004,1
"229",750,2003,312,0.755509843,"C008",156,417,TRUE,FALSE,253,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2002","2002",1,1,2.52307692307692,1.65217391304348,-1.52307692307692,-0.652173913043478,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,0
"230",753,2003,313,0.66394369,"C009",248,4229,TRUE,FALSE,32,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_adults_090914B_data.csvresultstotal.csv",10,0,2004,1
"231",753,2003,313,0.66394369,"C009",248,4229,TRUE,FALSE,32,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_Adults_plate39_260515_data.csvresultstotal.csv",10,1,2004,1
"232",753,2003,313,0.66394369,"C009",248,4229,TRUE,FALSE,32,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",11,0,2004,1
"233",753,2003,313,0.66394369,"C009",248,4229,TRUE,FALSE,32,TRUE,FALSE,"Dad:FROM GENETICS


Mum:FROM GENETICS","2000","2001",3,2,2.52307692307692,1.65217391304348,0.476923076923077,0.347826086956522,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",10,1,2004,1
"235",765,2003,317,0.757932132,"C013",163,4326,TRUE,FALSE,309,TRUE,FALSE,NA,"2000","2002",3,1,2.52307692307692,1.65217391304348,0.476923076923077,-0.652173913043478,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",10,1,2004,1
"236",784,2003,327,0.864726096,"C023",152,4153,TRUE,FALSE,601,TRUE,FALSE,"Egg plus


Dad:FROM GENETICS","2000","2002",3,1,2.52307692307692,1.65217391304348,0.476923076923077,-0.652173913043478,"MEM_Adults_100914_PLATE4_data.csvresultstotal.csv",1,9,2004,1
"237",784,2003,327,0.864726096,"C023",152,4153,TRUE,FALSE,601,TRUE,FALSE,"Egg plus


Dad:FROM GENETICS","2000","2002",3,1,2.52307692307692,1.65217391304348,0.476923076923077,-0.652173913043478,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",12,0,2003,0
"238",784,2003,327,0.864726096,"C023",152,4153,TRUE,FALSE,601,TRUE,FALSE,"Egg plus


Dad:FROM GENETICS","2000","2002",3,1,2.52307692307692,1.65217391304348,0.476923076923077,-0.652173913043478,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",11,0,2004,1
"240",818,2003,341,0.855881802,"C037",221,4275,TRUE,FALSE,4290,TRUE,FALSE,NA,"2000","2000",3,3,2.52307692307692,1.65217391304348,0.476923076923077,1.34782608695652,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",10,1,2004,1
"242",819,2003,341,0.752398435,"C037",221,4275,TRUE,FALSE,4290,TRUE,FALSE,NA,"2000","2000",3,3,2.52307692307692,1.65217391304348,0.476923076923077,1.34782608695652,"MEM_adults_090914_data.csvresultstotal.csv",10,0,2004,1
"245",822,2003,342,0.841178639,"C038",172,363,TRUE,FALSE,4447,TRUE,FALSE,"Dad:FROM GENETICS","2002","1999",1,4,2.52307692307692,1.65217391304348,-1.52307692307692,2.34782608695652,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",11,0,2004,1
"246",822,2003,342,0.841178639,"C038",172,363,TRUE,FALSE,4447,TRUE,FALSE,"Dad:FROM GENETICS","2002","1999",1,4,2.52307692307692,1.65217391304348,-1.52307692307692,2.34782608695652,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",10,1,2004,1
"247",831,2003,344,0.796219703,"C040",161,4435,TRUE,FALSE,4217,TRUE,FALSE,NA,"1997","2000",6,3,2.52307692307692,1.65217391304348,3.47692307692308,1.34782608695652,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",10,1,2004,1
